Timestamp,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20
2/24/2022 15:28:52,5,6,4,6,5,7,4,5,4,2,3,5,3,5,1,7,5,5,4,6
2/24/2022 15:28:54,6,4,6,6,4,5,3,6,6,7,5,6,2,7,2,4,7,7,5,5
2/24/2022 15:28:57,2,6,5,2,2,4,2,1,5,2,1,6,6,3,7,4,5,6,3,7
2/24/2022 15:28:58,7,4,7,4,2,3,1,3,6,1,7,7,1,5,1,5,7,5,7,7
2/24/2022 15:29:02,6,1,6,3,3,7,6,4,3,5,7,3,3,3,5,5,7,7,4,3
2/24/2022 15:29:04,5,4,5,5,5,6,4,5,4,1,5,4,2,6,2,4,5,6,5,4
2/24/2022 15:29:04,5,3,5,4,5,3,4,5,4,3,4,4,5,5,3,3,5,4,3,6
2/24/2022 15:29:04,4,5,6,4,4,4,1,2,6,1,6,7,3,5,4,4,4,7,4,7
2/24/2022 15:29:11,6,6,7,6,4,3,2,5,4,5,7,6,2,6,1,6,6,4,5,5
2/24/2022 15:29:12,4,7,5,3,4,6,5,2,4,1,6,7,5,4,6,4,4,7,4,6
2/24/2022 15:29:16,2,5,7,2,5,1,1,1,5,5,7,5,3,3,5,6,5,7,5,7
2/24/2022 15:29:25,5,5,4,5,3,2,3,5,4,2,3,4,4,6,2,6,6,7,6,6
2/24/2022 15:29:25,6,2,6,5,5,6,3,6,7,6,5,6,2,5,2,6,6,5,5,5
2/24/2022 15:29:39,3,6,5,4,5,4,3,2,4,1,5,3,5,6,2,2,2,6,1,4
2/24/2022 15:29:41,1,4,7,1,4,7,7,1,4,7,1,3,7,1,7,1,7,7,7,7
2/24/2022 15:29:41,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2/24/2022 15:29:56,3,2,5,3,3,4,2,4,4,4,2,5,3,5,3,4,5,7,5,5
2/24/2022 15:30:04,6,2,3,2,4,4,4,6,5,7,3,7,6,4,1,5,5,7,5,4
2/24/2022 15:30:09,3,7,6,5,2,4,2,3,5,1,5,5,4,6,5,3,3,5,3,5
2/24/2022 15:30:18,3,7,5,2,2,7,1,3,5,2,5,6,1,6,3,4,6,4,5,7
2/24/2022 15:30:21,4,6,5,3,3,3,7,3,3,3,3,3,6,3,4,3,1,7,2,7
2/24/2022 15:30:25,4,6,6,3,5,7,4,3,5,1,6,7,2,5,2,4,6,7,5,5
2/24/2022 15:30:37,5,3,5,5,5,7,2,5,5,3,3,4,5,4,3,3,3,7,6,7
2/24/2022 15:30:44,5,4,7,6,5,6,2,5,7,1,3,5,3,6,2,6,3,6,4,6
2/24/2022 15:30:46,2,7,2,2,2,1,7,1,2,1,7,3,7,4,3,3,1,7,2,7
2/24/2022 15:30:55,6,5,5,3,3,3,4,5,4,2,5,5,3,3,3,3,6,7,3,3
2/24/2022 15:32:22,4,7,7,5,6,7,1,2,5,1,4,6,3,7,1,7,5,6,7,7